L_beam_mm,DeltaT_K,P_total_mW,P_PEH_mW,P_TEG_mW
34.8,23.37,47.9507,16.0854,32.7661
34.8,24.9,52.9555,16.0854,37.1376
34.8,26.43,55.4128,16.0854,41.7737
34.8,27.96,61.1396,16.0854,46.6729
34.8,29.49,66.3766,16.0854,51.8332
34.8,31.02,72.6189,16.0854,57.2531
34.8,32.55,78.3603,16.0854,62.9307
34.8,34.08,83.8734,16.0854,68.8641
34.8,35.61,90.5557,16.0854,75.0517
34.8,37.14,97.5119,16.0854,81.4915
34.8,38.67,104.0327,16.0854,88.1817
34.8,40.2,111.2437,16.0854,95.1059
34.8,41.73,118.2028,16.0854,102.1726
34.8,43.27,125.2279,16.0854,109.4669
34.8,44.8,132.9855,16.0854,116.986
34.8,46.33,138.98,16.0854,124.7271
34.8,47.86,145.3967,16.0854,132.6873
34.8,49.39,154.9185,16.0854,140.864
34.8,50.92,163.3753,16.0854,149.2542
34.8,52.45,172.6705,16.0854,157.8553
34.8,53.98,181.3065,16.0854,166.6642
34.8,55.51,190.3345,16.0854,175.6784
34.8,57.04,197.8879,16.0854,184.8948
34.8,58.57,206.0195,16.0854,194.3107
34.8,60.1,215.3336,16.0854,203.9233
34.8,61.63,226.5839,16.0854,213.7298
34.8,63.16,234.0637,16.0854,223.7272
34.8,64.69,242.2091,16.0854,233.9128
34.8,66.22,258.1766,16.0854,244.2838
34.8,67.76,267.8472,16.0854,254.8373
34.8,69.29,281.547,16.0854,265.5705
34.8,70.82,291.5883,16.0854,276.4807
34.8,72.35,299.6172,16.0854,287.5649
34.8,73.88,311.1224,16.0854,298.8203
34.8,75.41,320.4433,16.0854,310.2443
34.8,76.94,336.5229,16.0854,321.8339
34.8,78.47,349.2508,16.0854,333.5863
34.8,80.0,365.3287,16.0854,345.4989
35.61,5.0,18.4248,16.6697,1.5272
35.61,6.53,19.5742,16.6697,2.6019
35.61,8.06,20.9646,16.6697,3.959
35.61,9.59,22.0191,16.6697,5.5974
35.61,11.12,23.722,16.6697,7.5156
35.61,12.65,25.5751,16.6697,9.7124
35.61,14.18,28.0963,16.6697,12.1862
35.61,15.71,30.3179,16.6697,14.9358
35.61,17.24,32.5448,16.6697,17.9596
35.61,18.78,36.3561,16.6697,21.256
35.61,20.31,40.0542,16.6697,24.8237
35.61,21.84,44.0193,16.6697,28.6609
35.61,23.37,47.3519,16.6697,32.7661
35.61,24.9,53.1881,16.6697,37.1376
35.61,26.43,57.2517,16.6697,41.7737
35.61,27.96,61.9937,16.6697,46.6729
35.61,29.49,67.6261,16.6697,51.8332
35.61,31.02,73.5012,16.6697,57.2531
35.61,32.55,78.3077,16.6697,62.9307
35.61,34.08,86.265,16.6697,68.8641
35.61,35.61,91.6832,16.6697,75.0517
35.61,37.14,97.2445,16.6697,81.4915
35.61,38.67,102.5087,16.6697,88.1817
35.61,40.2,109.3437,16.6697,95.1059
35.61,41.73,118.3551,16.6697,102.1726
35.61,43.27,126.2734,16.6697,109.4669
35.61,44.8,133.0042,16.6697,116.986
35.61,46.33,143.0531,16.6697,124.7271
35.61,47.86,149.0617,16.6697,132.6873
35.61,49.39,157.8826,16.6697,140.864
35.61,50.92,167.7625,16.6697,149.2542
35.61,52.45,176.9134,16.6697,157.8553
35.61,53.98,182.7358,16.6697,166.6642
35.61,55.51,190.4913,16.6697,175.6784
35.61,57.04,197.9499,16.6697,184.8948
35.61,58.57,207.292,16.6697,194.3107
35.61,60.1,215.1228,16.6697,203.9233
35.61,61.63,227.7158,16.6697,213.7298
35.61,63.16,239.9466,16.6697,223.7272
35.61,64.69,256.2186,16.6697,233.9128
35.61,66.22,262.5099,16.6697,244.2838
35.61,67.76,270.4609,16.6697,254.8373
35.61,69.29,281.0512,16.6697,265.5705
35.61,70.82,296.9075,16.6697,276.4807
35.61,72.35,305.6787,16.6697,287.5649
35.61,73.88,314.5578,16.6697,298.8203
35.61,75.41,323.2901,16.6697,310.2443
35.61,76.94,335.0793,16.6697,321.8339
35.61,78.47,344.8364,16.6697,333.5863
35.61,80.0,356.7121,16.6697,345.4989
36.43,5.0,18.332,17.2606,1.5272
36.43,6.53,19.4299,17.2606,2.6019
36.43,8.06,20.7701,17.2606,3.959
36.43,9.59,22.5637,17.2606,5.5974
36.43,11.12,24.232,17.2606,7.5156
36.43,12.65,26.2593,17.2606,9.7124
36.43,14.18,28.5343,17.2606,12.1862
36.43,15.71,31.3079,17.2606,14.9358
36.43,17.24,34.1046,17.2606,17.9596
36.43,18.78,37.6716,17.2606,21.256
36.43,20.31,40.9312,17.2606,24.8237
36.43,21.84,45.1889,17.2606,28.6609
36.43,23.37,48.3858,17.2606,32.7661
36.43,24.9,53.0455,17.2606,37.1376
36.43,26.43,57.3223,17.2606,41.7737
36.43,27.96,61.82,17.2606,46.6729
36.43,29.49,66.5591,17.2606,51.8332
36.43,31.02,72.9493,17.2606,57.2531
36.43,32.55,78.5142,17.2606,62.9307
36.43,34.08,85.8167,17.2606,68.8641
36.43,35.61,93.4019,17.2606,75.0517
36.43,37.14,98.5263,17.2606,81.4915
36.43,38.67,105.0124,17.2606,88.1817
36.43,40.2,108.7641,17.2606,95.1059
36.43,41.73,117.315,17.2606,102.1726
36.43,43.27,125.6971,17.2606,109.4669
36.43,44.8,132.6611,17.2606,116.986
36.43,46.33,139.9947,17.2606,124.7271
36.43,47.86,147.206,17.2606,132.6873
36.43,49.39,155.8154,17.2606,140.864
36.43,50.92,165.8074,17.2606,149.2542
36.43,52.45,174.3308,17.2606,157.8553
36.43,53.98,182.0698,17.2606,166.6642
36.43,55.51,192.479,17.2606,175.6784
36.43,57.04,203.421,17.2606,184.8948
36.43,58.57,210.1445,17.2606,194.3107
36.43,60.1,220.3643,17.2606,203.9233
36.43,61.63,229.4368,17.2606,213.7298
36.43,63.16,242.3641,17.2606,223.7272
36.43,64.69,254.4434,17.2606,233.9128
36.43,66.22,260.868,17.2606,244.2838
36.43,67.76,271.0102,17.2606,254.8373
36.43,69.29,281.4362,17.2606,265.5705
36.43,70.82,298.8095,17.2606,276.4807
36.43,72.35,307.0076,17.2606,287.5649
36.43,73.88,321.2936,17.2606,298.8203
36.43,75.41,326.0404,17.2606,310.2443
36.43,76.94,340.0791,17.2606,321.8339
36.43,78.47,357.0008,17.2606,333.5863
36.43,80.0,362.6288,17.2606,345.4989
37.24,5.0,19.3185,17.8577,1.5272
37.24,6.53,20.4387,17.8577,2.6019
37.24,8.06,21.7441,17.8577,3.959
37.24,9.59,23.1683,17.8577,5.5974
37.24,11.12,25.4299,17.8577,7.5156
37.24,12.65,27.354,17.8577,9.7124
37.24,14.18,29.3647,17.8577,12.1862
37.24,15.71,32.2007,17.8577,14.9358
37.24,17.24,34.5803,17.8577,17.9596
37.24,18.78,37.9849,17.8577,21.256
37.24,20.31,40.9003,17.8577,24.8237
37.24,21.84,44.4842,17.8577,28.6609
37.24,23.37,48.7815,17.8577,32.7661
37.24,24.9,53.5798,17.8577,37.1376
37.24,26.43,58.5575,17.8577,41.7737
37.24,27.96,63.8478,17.8577,46.6729
37.24,29.49,68.4844,17.8577,51.8332
37.24,31.02,73.7218,17.8577,57.2531
37.24,32.55,79.1986,17.8577,62.9307
37.24,34.08,85.694,17.8577,68.8641
37.24,35.61,91.9324,17.8577,75.0517
37.24,37.14,98.1138,17.8577,81.4915
37.24,38.67,106.1196,17.8577,88.1817
37.24,40.2,112.7169,17.8577,95.1059
37.24,41.73,120.3319,17.8577,102.1726
37.24,43.27,126.7623,17.8577,109.4669
37.24,44.8,132.8341,17.8577,116.986
37.24,46.33,141.3187,17.8577,124.7271
37.24,47.86,150.1053,17.8577,132.6873
37.24,49.39,160.3845,17.8577,140.864
37.24,50.92,166.8511,17.8577,149.2542
37.24,52.45,176.968,17.8577,157.8553
37.24,53.98,184.2373,17.8577,166.6642
37.24,55.51,196.962,17.8577,175.6784
37.24,57.04,205.1118,17.8577,184.8948
37.24,58.57,212.2274,17.8577,194.3107
37.24,60.1,222.1728,17.8577,203.9233
37.24,61.63,231.021,17.8577,213.7298
37.24,63.16,241.9325,17.8577,223.7272
37.24,64.69,253.3206,17.8577,233.9128
37.24,66.22,263.6727,17.8577,244.2838
37.24,67.76,270.5118,17.8577,254.8373
37.24,69.29,281.4046,17.8577,265.5705
37.24,70.82,296.1003,17.8577,276.4807
37.24,72.35,303.9363,17.8577,287.5649
37.24,73.88,315.4507,17.8577,298.8203
37.24,75.41,326.1395,17.8577,310.2443
37.24,76.94,332.5367,17.8577,321.8339
37.24,78.47,340.9072,17.8577,333.5863
37.24,80.0,355.6337,17.8577,345.4989
38.06,5.0,19.6065,18.461,1.5272
38.06,6.53,20.3131,18.461,2.6019
38.06,8.06,22.1705,18.461,3.959
38.06,9.59,23.6472,18.461,5.5974
38.06,11.12,25.3874,18.461,7.5156
38.06,12.65,27.2327,18.461,9.7124
38.06,14.18,29.3171,18.461,12.1862
38.06,15.71,31.8778,18.461,14.9358
38.06,17.24,35.1463,18.461,17.9596
38.06,18.78,38.5893,18.461,21.256
38.06,20.31,41.7306,18.461,24.8237
38.06,21.84,45.9941,18.461,28.6609
38.06,23.37,49.2546,18.461,32.7661
38.06,24.9,53.1857,18.461,37.1376
38.06,26.43,58.4716,18.461,41.7737
38.06,27.96,63.1292,18.461,46.6729
38.06,29.49,69.4158,18.461,51.8332
38.06,31.02,74.7718,18.461,57.2531
38.06,32.55,79.8491,18.461,62.9307
38.06,34.08,86.0212,18.461,68.8641
38.06,35.61,91.8512,18.461,75.0517
38.06,37.14,98.583,18.461,81.4915
38.06,38.67,103.8004,18.461,88.1817
38.06,40.2,111.3711,18.461,95.1059
38.06,41.73,118.6502,18.461,102.1726
38.06,43.27,129.7424,18.461,109.4669
38.06,44.8,137.779,18.461,116.986
38.06,46.33,143.5946,18.461,124.7271
38.06,47.86,151.0881,18.461,132.6873
38.06,49.39,157.7712,18.461,140.864
38.06,50.92,167.6476,18.461,149.2542
38.06,52.45,175.7221,18.461,157.8553
38.06,53.98,187.0946,18.461,166.6642
38.06,55.51,196.238,18.461,175.6784
38.06,57.04,204.1902,18.461,184.8948
38.06,58.57,214.2478,18.461,194.3107
38.06,60.1,226.6537,18.461,203.9233
38.06,61.63,231.5649,18.461,213.7298
38.06,63.16,240.0578,18.461,223.7272
38.06,64.69,249.9146,18.461,233.9128
38.06,66.22,260.8888,18.461,244.2838
38.06,67.76,272.3355,18.461,254.8373
38.06,69.29,281.5621,18.461,265.5705
38.06,70.82,293.5308,18.461,276.4807
38.06,72.35,306.1015,18.461,287.5649
38.06,73.88,312.6315,18.461,298.8203
38.06,75.41,321.6069,18.461,310.2443
38.06,76.94,334.9061,18.461,321.8339
38.06,78.47,347.3308,18.461,333.5863
38.06,80.0,361.6664,18.461,345.4989
38.88,5.0,20.1173,19.0704,1.5272
38.88,6.53,21.438,19.0704,2.6019
38.88,8.06,22.6134,19.0704,3.959
38.88,9.59,24.0308,19.0704,5.5974
38.88,11.12,25.5631,19.0704,7.5156
38.88,12.65,27.207,19.0704,9.7124
38.88,14.18,29.6892,19.0704,12.1862
38.88,15.71,32.1262,19.0704,14.9358
38.88,17.24,34.3228,19.0704,17.9596
38.88,18.78,38.2112,19.0704,21.256
38.88,20.31,41.6485,19.0704,24.8237
38.88,21.84,45.8694,19.0704,28.6609
38.88,23.37,50.02,19.0704,32.7661
38.88,24.9,54.9498,19.0704,37.1376
38.88,26.43,59.5499,19.0704,41.7737
38.88,27.96,63.6539,19.0704,46.6729
38.88,29.49,69.1263,19.0704,51.8332
38.88,31.02,75.4548,19.0704,57.2531
38.88,32.55,80.4027,19.0704,62.9307
38.88,34.08,85.3335,19.0704,68.8641
38.88,35.61,93.5401,19.0704,75.0517
38.88,37.14,99.6261,19.0704,81.4915
38.88,38.67,105.8439,19.0704,88.1817
38.88,40.2,113.4024,19.0704,95.1059
38.88,41.73,121.1454,19.0704,102.1726
38.88,43.27,129.234,19.0704,109.4669
38.88,44.8,136.3244,19.0704,116.986
38.88,46.33,146.213,19.0704,124.7271
38.88,47.86,154.8908,19.0704,132.6873
38.88,49.39,160.8453,19.0704,140.864
38.88,50.92,169.9655,19.0704,149.2542
38.88,52.45,177.4644,19.0704,157.8553
38.88,53.98,186.1752,19.0704,166.6642
38.88,55.51,192.2651,19.0704,175.6784
38.88,57.04,196.5059,19.0704,184.8948
38.88,58.57,206.4655,19.0704,194.3107
38.88,60.1,214.6053,19.0704,203.9233
38.88,61.63,225.8821,19.0704,213.7298
38.88,63.16,238.3695,19.0704,223.7272
38.88,64.69,251.1645,19.0704,233.9128
38.88,66.22,259.4496,19.0704,244.2838
38.88,67.76,273.8834,19.0704,254.8373
38.88,69.29,281.9136,19.0704,265.5705
38.88,70.82,295.2184,19.0704,276.4807
38.88,72.35,309.8919,19.0704,287.5649
38.88,73.88,313.2772,19.0704,298.8203
38.88,75.41,325.4712,19.0704,310.2443
38.88,76.94,340.3442,19.0704,321.8339
38.88,78.47,353.4596,19.0704,333.5863
38.88,80.0,364.8951,19.0704,345.4989
39.69,5.0,21.0092,19.6858,1.5272
39.69,6.53,21.912,19.6858,2.6019
39.69,8.06,23.3027,19.6858,3.959
39.69,9.59,24.7309,19.6858,5.5974
39.69,11.12,26.7525,19.6858,7.5156
39.69,12.65,28.9249,19.6858,9.7124
39.69,14.18,30.8037,19.6858,12.1862
39.69,15.71,34.0878,19.6858,14.9358
39.69,17.24,36.4199,19.6858,17.9596
39.69,18.78,39.4081,19.6858,21.256
39.69,20.31,43.0137,19.6858,24.8237
39.69,21.84,46.505,19.6858,28.6609
39.69,23.37,51.0135,19.6858,32.7661
39.69,24.9,55.6178,19.6858,37.1376
39.69,26.43,59.6884,19.6858,41.7737
39.69,27.96,64.4415,19.6858,46.6729
39.69,29.49,69.871,19.6858,51.8332
39.69,31.02,76.2706,19.6858,57.2531
39.69,32.55,83.5246,19.6858,62.9307
39.69,34.08,88.1651,19.6858,68.8641
39.69,35.61,93.2169,19.6858,75.0517
39.69,37.14,100.9555,19.6858,81.4915
39.69,38.67,106.6393,19.6858,88.1817
39.69,40.2,112.654,19.6858,95.1059
39.69,41.73,119.6744,19.6858,102.1726
39.69,43.27,126.6907,19.6858,109.4669
39.69,44.8,136.5718,19.6858,116.986
39.69,46.33,145.4879,19.6858,124.7271
39.69,47.86,153.2538,19.6858,132.6873
39.69,49.39,160.4292,19.6858,140.864
39.69,50.92,168.8719,19.6858,149.2542
39.69,52.45,179.4573,19.6858,157.8553
39.69,53.98,188.7066,19.6858,166.6642
39.69,55.51,195.674,19.6858,175.6784
39.69,57.04,205.8937,19.6858,184.8948
39.69,58.57,213.6019,19.6858,194.3107
39.69,60.1,224.2494,19.6858,203.9233
39.69,61.63,233.8739,19.6858,213.7298
39.69,63.16,248.6526,19.6858,223.7272
39.69,64.69,257.8445,19.6858,233.9128
39.69,66.22,270.0826,19.6858,244.2838
39.69,67.76,277.3174,19.6858,254.8373
39.69,69.29,282.2947,19.6858,265.5705
39.69,70.82,293.3006,19.6858,276.4807
39.69,72.35,302.874,19.6858,287.5649
39.69,73.88,314.3029,19.6858,298.8203
39.69,75.41,328.6807,19.6858,310.2443
39.69,76.94,342.4482,19.6858,321.8339
39.69,78.47,347.2395,19.6858,333.5863
39.69,80.0,366.5359,19.6858,345.4989
40.51,5.0,21.7368,20.3069,1.5272
40.51,6.53,22.4809,20.3069,2.6019
40.51,8.06,24.2313,20.3069,3.959
40.51,9.59,25.4656,20.3069,5.5974
40.51,11.12,27.2549,20.3069,7.5156
40.51,12.65,29.2215,20.3069,9.7124
40.51,14.18,31.1476,20.3069,12.1862
40.51,15.71,34.4149,20.3069,14.9358
40.51,17.24,36.698,20.3069,17.9596
40.51,18.78,39.4808,20.3069,21.256
40.51,20.31,42.9045,20.3069,24.8237
40.51,21.84,47.1559,20.3069,28.6609
40.51,23.37,52.4402,20.3069,32.7661
40.51,24.9,56.1525,20.3069,37.1376
40.51,26.43,60.1546,20.3069,41.7737
40.51,27.96,65.5669,20.3069,46.6729
40.51,29.49,70.1384,20.3069,51.8332
40.51,31.02,76.7392,20.3069,57.2531
40.51,32.55,81.2452,20.3069,62.9307
40.51,34.08,87.2968,20.3069,68.8641
40.51,35.61,92.8241,20.3069,75.0517
40.51,37.14,101.6196,20.3069,81.4915
40.51,38.67,107.6628,20.3069,88.1817
40.51,40.2,114.1299,20.3069,95.1059
40.51,41.73,120.5547,20.3069,102.1726
40.51,43.27,130.2665,20.3069,109.4669
40.51,44.8,136.9065,20.3069,116.986
40.51,46.33,143.7955,20.3069,124.7271
40.51,47.86,149.0092,20.3069,132.6873
40.51,49.39,160.3162,20.3069,140.864
40.51,50.92,168.4354,20.3069,149.2542
40.51,52.45,178.9924,20.3069,157.8553
40.51,53.98,187.9841,20.3069,166.6642
40.51,55.51,198.4639,20.3069,175.6784
40.51,57.04,207.7864,20.3069,184.8948
40.51,58.57,213.3672,20.3069,194.3107
40.51,60.1,221.8751,20.3069,203.9233
40.51,61.63,234.4379,20.3069,213.7298
40.51,63.16,245.3034,20.3069,223.7272
40.51,64.69,253.772,20.3069,233.9128
40.51,66.22,268.0136,20.3069,244.2838
40.51,67.76,277.5424,20.3069,254.8373
40.51,69.29,284.5549,20.3069,265.5705
40.51,70.82,295.9679,20.3069,276.4807
40.51,72.35,301.0282,20.3069,287.5649
40.51,73.88,316.4282,20.3069,298.8203
40.51,75.41,327.5195,20.3069,310.2443
40.51,76.94,344.8356,20.3069,321.8339
40.51,78.47,357.0089,20.3069,333.5863
40.51,80.0,368.6779,20.3069,345.4989
41.33,5.0,22.5004,20.9338,1.5272
41.33,6.53,23.3635,20.9338,2.6019
41.33,8.06,24.7836,20.9338,3.959
41.33,9.59,26.4259,20.9338,5.5974
41.33,11.12,27.6884,20.9338,7.5156
41.33,12.65,30.0725,20.9338,9.7124
41.33,14.18,32.3255,20.9338,12.1862
41.33,15.71,34.9732,20.9338,14.9358
41.33,17.24,37.3277,20.9338,17.9596
41.33,18.78,40.5529,20.9338,21.256
41.33,20.31,44.3819,20.9338,24.8237
41.33,21.84,48.3853,20.9338,28.6609
41.33,23.37,52.7834,20.9338,32.7661
41.33,24.9,57.2751,20.9338,37.1376
41.33,26.43,62.5431,20.9338,41.7737
41.33,27.96,66.258,20.9338,46.6729
41.33,29.49,71.3597,20.9338,51.8332
41.33,31.02,76.9622,20.9338,57.2531
41.33,32.55,83.3956,20.9338,62.9307
41.33,34.08,90.1731,20.9338,68.8641
41.33,35.61,96.4252,20.9338,75.0517
41.33,37.14,101.0481,20.9338,81.4915
41.33,38.67,107.5653,20.9338,88.1817
41.33,40.2,114.9166,20.9338,95.1059
41.33,41.73,123.7551,20.9338,102.1726
41.33,43.27,127.2619,20.9338,109.4669
41.33,44.8,135.5361,20.9338,116.986
41.33,46.33,142.6954,20.9338,124.7271
41.33,47.86,151.0952,20.9338,132.6873
41.33,49.39,158.9875,20.9338,140.864
41.33,50.92,166.9307,20.9338,149.2542
41.33,52.45,177.8288,20.9338,157.8553
41.33,53.98,184.0617,20.9338,166.6642
41.33,55.51,192.5179,20.9338,175.6784
41.33,57.04,201.7751,20.9338,184.8948
41.33,58.57,213.0564,20.9338,194.3107
41.33,60.1,224.2114,20.9338,203.9233
41.33,61.63,236.6642,20.9338,213.7298
41.33,63.16,245.0317,20.9338,223.7272
41.33,64.69,249.1307,20.9338,233.9128
41.33,66.22,255.1106,20.9338,244.2838
41.33,67.76,267.8859,20.9338,254.8373
41.33,69.29,280.5187,20.9338,265.5705
41.33,70.82,293.75,20.9338,276.4807
41.33,72.35,310.7534,20.9338,287.5649
41.33,73.88,317.2921,20.9338,298.8203
41.33,75.41,321.0038,20.9338,310.2443
41.33,76.94,336.1872,20.9338,321.8339
41.33,78.47,348.358,20.9338,333.5863
41.33,80.0,357.1404,20.9338,345.4989
42.14,5.0,22.8742,21.5662,1.5272
42.14,6.53,24.0416,21.5662,2.6019
42.14,8.06,25.3052,21.5662,3.959
42.14,9.59,26.8724,21.5662,5.5974
42.14,11.12,29.0162,21.5662,7.5156
42.14,12.65,30.6273,21.5662,9.7124
42.14,14.18,32.5184,21.5662,12.1862
42.14,15.71,34.8637,21.5662,14.9358
42.14,17.24,37.2034,21.5662,17.9596
42.14,18.78,40.4613,21.5662,21.256
42.14,20.31,45.1169,21.5662,24.8237
42.14,21.84,48.3948,21.5662,28.6609
42.14,23.37,53.0498,21.5662,32.7661
42.14,24.9,56.5295,21.5662,37.1376
42.14,26.43,61.7782,21.5662,41.7737
42.14,27.96,66.8322,21.5662,46.6729
42.14,29.49,71.9215,21.5662,51.8332
42.14,31.02,76.9983,21.5662,57.2531
42.14,32.55,81.3447,21.5662,62.9307
42.14,34.08,85.7117,21.5662,68.8641
42.14,35.61,92.4691,21.5662,75.0517
42.14,37.14,100.8956,21.5662,81.4915
42.14,38.67,107.075,21.5662,88.1817
42.14,40.2,113.4574,21.5662,95.1059
42.14,41.73,123.0065,21.5662,102.1726
42.14,43.27,130.4604,21.5662,109.4669
42.14,44.8,139.0823,21.5662,116.986
42.14,46.33,146.8369,21.5662,124.7271
42.14,47.86,155.2579,21.5662,132.6873
42.14,49.39,160.1825,21.5662,140.864
42.14,50.92,168.5831,21.5662,149.2542
42.14,52.45,175.4006,21.5662,157.8553
42.14,53.98,184.6763,21.5662,166.6642
42.14,55.51,192.7305,21.5662,175.6784
42.14,57.04,205.229,21.5662,184.8948
42.14,58.57,213.3476,21.5662,194.3107
42.14,60.1,224.1319,21.5662,203.9233
42.14,61.63,235.5618,21.5662,213.7298
42.14,63.16,246.9136,21.5662,223.7272
42.14,64.69,256.1276,21.5662,233.9128
42.14,66.22,263.3522,21.5662,244.2838
42.14,67.76,272.6977,21.5662,254.8373
42.14,69.29,286.6312,21.5662,265.5705
42.14,70.82,297.9043,21.5662,276.4807
42.14,72.35,304.6594,21.5662,287.5649
42.14,73.88,317.2467,21.5662,298.8203
42.14,75.41,328.8607,21.5662,310.2443
42.14,76.94,335.4678,21.5662,321.8339
42.14,78.47,351.6117,21.5662,333.5863
42.14,80.0,365.9114,21.5662,345.4989
42.96,5.0,23.7248,22.2041,1.5272
42.96,6.53,24.1375,22.2041,2.6019
42.96,8.06,26.1017,22.2041,3.959
42.96,9.59,27.605,22.2041,5.5974
42.96,11.12,29.349,22.2041,7.5156
42.96,12.65,31.5704,22.2041,9.7124
42.96,14.18,34.1874,22.2041,12.1862
42.96,15.71,36.5614,22.2041,14.9358
42.96,17.24,39.0683,22.2041,17.9596
42.96,18.78,42.0503,22.2041,21.256
42.96,20.31,44.7929,22.2041,24.8237
42.96,21.84,49.5906,22.2041,28.6609
42.96,23.37,53.3123,22.2041,32.7661
42.96,24.9,57.2422,22.2041,37.1376
42.96,26.43,62.1213,22.2041,41.7737
42.96,27.96,67.1859,22.2041,46.6729
42.96,29.49,72.1749,22.2041,51.8332
42.96,31.02,76.9014,22.2041,57.2531
42.96,32.55,83.6991,22.2041,62.9307
42.96,34.08,90.5516,22.2041,68.8641
42.96,35.61,95.336,22.2041,75.0517
42.96,37.14,100.6022,22.2041,81.4915
42.96,38.67,107.3076,22.2041,88.1817
42.96,40.2,115.106,22.2041,95.1059
42.96,41.73,120.5609,22.2041,102.1726
42.96,43.27,128.4185,22.2041,109.4669
42.96,44.8,136.6547,22.2041,116.986
42.96,46.33,146.5987,22.2041,124.7271
42.96,47.86,153.4731,22.2041,132.6873
42.96,49.39,163.0463,22.2041,140.864
42.96,50.92,171.8675,22.2041,149.2542
42.96,52.45,177.8874,22.2041,157.8553
42.96,53.98,189.6388,22.2041,166.6642
42.96,55.51,195.8899,22.2041,175.6784
42.96,57.04,206.9009,22.2041,184.8948
42.96,58.57,213.9134,22.2041,194.3107
42.96,60.1,226.1614,22.2041,203.9233
42.96,61.63,233.8094,22.2041,213.7298
42.96,63.16,250.2502,22.2041,223.7272
42.96,64.69,257.9525,22.2041,233.9128
42.96,66.22,270.6991,22.2041,244.2838
42.96,67.76,281.8045,22.2041,254.8373
42.96,69.29,288.3447,22.2041,265.5705
42.96,70.82,299.4627,22.2041,276.4807
42.96,72.35,313.6472,22.2041,287.5649
42.96,73.88,326.3182,22.2041,298.8203
42.96,75.41,329.0933,22.2041,310.2443
42.96,76.94,340.5802,22.2041,321.8339
42.96,78.47,356.7007,22.2041,333.5863
42.96,80.0,369.6841,22.2041,345.4989
43.78,5.0,24.3452,22.8474,1.5272
43.78,6.53,25.3775,22.8474,2.6019
43.78,8.06,27.1079,22.8474,3.959
43.78,9.59,28.1286,22.8474,5.5974
43.78,11.12,29.2651,22.8474,7.5156
43.78,12.65,31.519,22.8474,9.7124
43.78,14.18,33.3281,22.8474,12.1862
43.78,15.71,36.1728,22.8474,14.9358
43.78,17.24,38.9565,22.8474,17.9596
43.78,18.78,42.6624,22.8474,21.256
43.78,20.31,46.1975,22.8474,24.8237
43.78,21.84,50.3684,22.8474,28.6609
43.78,23.37,54.0284,22.8474,32.7661
43.78,24.9,58.6281,22.8474,37.1376
43.78,26.43,63.6372,22.8474,41.7737
43.78,27.96,67.6446,22.8474,46.6729
43.78,29.49,72.5366,22.8474,51.8332
43.78,31.02,77.9126,22.8474,57.2531
43.78,32.55,82.5158,22.8474,62.9307
43.78,34.08,86.6656,22.8474,68.8641
43.78,35.61,92.4214,22.8474,75.0517
43.78,37.14,100.5021,22.8474,81.4915
43.78,38.67,107.993,22.8474,88.1817
43.78,40.2,114.0818,22.8474,95.1059
43.78,41.73,122.4873,22.8474,102.1726
43.78,43.27,129.2602,22.8474,109.4669
43.78,44.8,135.6123,22.8474,116.986
43.78,46.33,146.0191,22.8474,124.7271
43.78,47.86,153.7687,22.8474,132.6873
43.78,49.39,159.9406,22.8474,140.864
43.78,50.92,168.2326,22.8474,149.2542
43.78,52.45,178.2839,22.8474,157.8553
43.78,53.98,188.1092,22.8474,166.6642
43.78,55.51,200.2176,22.8474,175.6784
43.78,57.04,209.8017,22.8474,184.8948
43.78,58.57,218.4632,22.8474,194.3107
43.78,60.1,226.3016,22.8474,203.9233
43.78,61.63,238.0005,22.8474,213.7298
43.78,63.16,244.7865,22.8474,223.7272
43.78,64.69,255.9976,22.8474,233.9128
43.78,66.22,267.3295,22.8474,244.2838
43.78,67.76,274.9615,22.8474,254.8373
43.78,69.29,284.6707,22.8474,265.5705
43.78,70.82,296.5907,22.8474,276.4807
43.78,72.35,312.4723,22.8474,287.5649
43.78,73.88,326.3843,22.8474,298.8203
43.78,75.41,338.478,22.8474,310.2443
43.78,76.94,351.857,22.8474,321.8339
43.78,78.47,353.5058,22.8474,333.5863
43.78,80.0,369.354,22.8474,345.4989
44.59,5.0,24.5541,23.4958,1.5272
44.59,6.53,25.8548,23.4958,2.6019
44.59,8.06,27.016,23.4958,3.959
44.59,9.59,28.1896,23.4958,5.5974
44.59,11.12,29.8372,23.4958,7.5156
44.59,12.65,32.2648,23.4958,9.7124
44.59,14.18,34.4329,23.4958,12.1862
44.59,15.71,36.702,23.4958,14.9358
44.59,17.24,40.6156,23.4958,17.9596
44.59,18.78,43.0166,23.4958,21.256
44.59,20.31,45.8925,23.4958,24.8237
44.59,21.84,49.6788,23.4958,28.6609
44.59,23.37,53.4871,23.4958,32.7661
44.59,24.9,58.0865,23.4958,37.1376
44.59,26.43,63.2339,23.4958,41.7737
44.59,27.96,68.7957,23.4958,46.6729
44.59,29.49,74.3825,23.4958,51.8332
44.59,31.02,79.8374,23.4958,57.2531
44.59,32.55,85.3931,23.4958,62.9307
44.59,34.08,91.3992,23.4958,68.8641
44.59,35.61,98.4052,23.4958,75.0517
44.59,37.14,103.9231,23.4958,81.4915
44.59,38.67,109.333,23.4958,88.1817
44.59,40.2,119.4963,23.4958,95.1059
44.59,41.73,125.8255,23.4958,102.1726
