DeltaT_K,V_Thomson_N71,V_Ideal_N71,P_mW_Thomson_N71,P_mW_Ideal_N71,V_Thomson_N127,V_Ideal_N127,P_mW_Thomson_N127,P_mW_Ideal_N127,V_Thomson_N199,V_Ideal_N199,P_mW_Thomson_N199,P_mW_Ideal_N199
58.07,1.283835,1.316334,106.6904,116.3224,2.303152,2.366722,192.0881,206.9734,3.624329,3.704797,302.3783,323.7369
58.334,1.305289,1.328253,108.1747,116.8675,2.323101,2.373306,196.6098,207.9008,3.648137,3.748629,304.2859,323.1836
58.599,1.310567,1.32339,106.8116,118.177,2.328381,2.40646,194.1441,212.7152,3.610197,3.746863,307.4609,326.1929
58.863,1.321454,1.334852,109.5727,118.3186,2.353806,2.405203,195.5893,212.0112,3.672753,3.794562,310.74,329.6661
59.127,1.322784,1.353727,112.2206,120.0241,2.340271,2.424039,197.9281,214.6686,3.643782,3.779773,312.7561,336.3372
59.391,1.313821,1.3439,111.9347,120.8829,2.362035,2.426837,199.3534,217.3183,3.708608,3.727933,317.3986,340.8124
59.656,1.322163,1.35013,111.5433,121.699,2.385559,2.435377,201.6206,219.4198,3.751838,3.77073,320.0343,343.9035
59.92,1.347844,1.370613,111.6109,124.0621,2.39739,2.442751,206.1253,220.1866,3.753992,3.802065,320.6578,346.9162
60.184,1.324537,1.373025,113.612,123.5341,2.40669,2.429333,204.6855,223.9713,3.797285,3.79826,320.7624,353.9612
60.448,1.343016,1.375497,114.2806,123.5782,2.415344,2.434573,207.5058,227.022,3.768944,3.833482,319.1918,353.3155
60.712,1.343779,1.381009,115.1055,126.1175,2.417975,2.479353,210.1414,226.4855,3.767416,3.904744,326.042,355.0379
60.977,1.364064,1.381658,118.4587,127.9692,2.433066,2.487297,211.6736,228.332,3.802257,3.882858,329.382,356.2025
61.241,1.360628,1.397644,118.2618,128.9285,2.424168,2.448505,209.7889,232.2126,3.792218,3.910878,340.0194,360.1273
61.505,1.374558,1.396369,120.2492,129.8569,2.430994,2.492168,212.9407,234.4807,3.828866,3.905939,337.3436,362.5333
61.769,1.374331,1.40126,120.0235,130.9528,2.459531,2.526486,211.7198,235.0189,3.871715,3.920839,335.9773,366.7429
62.033,1.381827,1.403787,121.2168,133.6571,2.43577,2.548545,214.9644,236.4128,3.919069,3.97015,335.7632,370.6453
62.298,1.375484,1.417853,124.8553,134.429,2.48445,2.535176,217.319,240.0745,3.915718,3.994677,336.531,373.6776
62.562,1.380395,1.41859,124.2175,134.5311,2.486629,2.540154,218.1896,241.4997,3.902006,4.002615,337.4219,375.1895
62.826,1.391015,1.422534,123.6396,135.0248,2.5025,2.551867,219.1805,243.4655,3.90616,4.029356,346.3264,380.7302
63.09,1.415513,1.429366,124.5572,136.8915,2.496074,2.576784,226.0737,247.3518,3.884663,4.036936,347.05,386.1332
63.355,1.409422,1.44093,125.9314,137.4633,2.489217,2.600297,225.7256,249.4229,3.898442,4.04245,354.5292,389.3153
63.619,1.398306,1.436106,126.0898,138.6444,2.507842,2.596302,226.9448,249.745,3.863469,4.042022,357.7532,391.1143
63.883,1.422793,1.443915,129.3057,139.7947,2.51679,2.581379,231.8557,250.5862,3.893814,4.026839,358.9713,389.8437
64.147,1.441326,1.456045,128.7797,142.1217,2.541951,2.621526,233.217,250.5681,4.011698,4.100302,357.6628,391.1441
64.411,1.434824,1.466253,129.2748,142.7694,2.55503,2.615562,231.8152,254.1013,3.981656,4.073118,363.2327,397.4521
64.676,1.440269,1.463628,131.9532,142.4367,2.621697,2.610993,232.0098,254.8632,4.057197,4.094318,365.9622,400.6668
64.94,1.449634,1.476153,132.3561,145.5708,2.536111,2.639087,236.4172,258.7299,4.0908,4.121263,366.6187,404.787
65.204,1.434888,1.484899,130.6286,145.4422,2.602129,2.655973,237.8419,260.9124,4.069979,4.128093,364.0774,409.0583
65.468,1.445005,1.482532,133.0466,147.149,2.583842,2.646652,234.84,261.842,4.110316,4.143402,374.8531,414.608
65.732,1.455698,1.499276,135.0799,149.2602,2.641041,2.698043,239.9262,264.3784,4.105283,4.208054,374.2316,412.6786
65.997,1.480434,1.492799,135.86,149.6201,2.647346,2.7283,242.6727,270.0716,4.131217,4.226708,378.6721,415.564
66.261,1.484205,1.494521,135.5653,150.8849,2.61812,2.707885,248.4203,267.7782,4.106807,4.232049,380.5861,424.6486
66.525,1.500523,1.506305,137.3238,153.5353,2.634241,2.714404,245.7489,268.989,4.134911,4.197324,382.7055,430.6227
66.789,1.495103,1.519936,139.4241,152.3684,2.651794,2.732934,248.9283,267.2499,4.195272,4.250405,390.0269,429.1905
67.054,1.510402,1.527339,140.2736,154.0989,2.639113,2.762384,250.3303,274.8879,4.22194,4.262014,395.5437,431.76
67.318,1.507802,1.542664,142.4355,156.9988,2.674536,2.746093,248.21,278.5725,4.242271,4.310871,391.9563,431.9896
67.582,1.497477,1.55849,141.8057,157.73,2.694327,2.72872,250.4911,279.7962,4.269789,4.31939,391.7589,436.5011
67.846,1.508701,1.55891,143.3355,158.4575,2.716975,2.741083,253.0926,284.805,4.316275,4.261111,406.9573,440.3562
68.11,1.515705,1.557613,141.5334,158.7725,2.701703,2.754065,252.3178,285.506,4.260978,4.337092,405.6755,446.0164
68.375,1.524731,1.564932,144.1123,159.4401,2.679887,2.77714,260.6122,285.7654,4.267161,4.379983,401.7189,446.5677
68.639,1.558017,1.572905,143.9619,160.8633,2.686357,2.782752,259.5278,286.807,4.266405,4.376648,411.7859,451.2998
68.903,1.561885,1.560906,147.623,163.1506,2.717795,2.806446,262.4819,290.779,4.333311,4.385316,405.1726,458.9424
69.167,1.568155,1.552115,148.51,164.5447,2.72477,2.819535,268.049,293.4725,4.284615,4.411617,413.6458,461.3758
69.431,1.550616,1.572857,146.7441,165.5278,2.736394,2.809192,267.1332,295.2169,4.262745,4.40546,412.1579,460.0356
69.696,1.520666,1.579086,148.0236,166.777,2.793677,2.815249,270.1688,300.9538,4.296099,4.445568,423.2609,464.9794
69.96,1.557976,1.591295,150.3093,168.2581,2.795742,2.827232,269.8727,300.3751,4.343804,4.462243,424.0469,471.6503
70.224,1.568432,1.613433,150.4698,168.9465,2.824568,2.842697,269.125,306.3199,4.369201,4.489936,420.1905,476.979
70.488,1.539536,1.615635,152.7681,171.2323,2.774612,2.843866,270.4676,309.4252,4.323421,4.523804,425.5788,479.148
70.753,1.571537,1.612086,152.9418,172.7189,2.782787,2.859403,275.1209,310.3236,4.346077,4.551568,427.7185,479.089
71.017,1.575193,1.607915,152.2618,172.6592,2.79916,2.865706,276.9055,308.4843,4.374095,4.56542,433.9035,483.6863
71.281,1.573747,1.628065,153.8425,174.1381,2.842448,2.899469,282.5858,309.7076,4.33883,4.563287,434.7225,487.8867
71.545,1.596049,1.615255,156.8391,174.7615,2.841352,2.917101,279.0801,311.9259,4.452068,4.572153,440.2305,494.8456
71.809,1.575674,1.624667,159.2055,176.5603,2.846552,2.949819,283.8707,314.014,4.445539,4.61156,450.9693,488.0243
72.074,1.602801,1.62862,158.4725,179.7068,2.838812,2.939882,286.0233,318.6386,4.455572,4.632165,443.051,499.0927
72.338,1.617284,1.646765,160.917,179.0512,2.827095,2.96069,288.1749,317.2558,4.515006,4.600106,447.8258,502.8796
72.602,1.616,1.650517,160.2702,180.4222,2.860423,2.958876,290.7055,323.4987,4.478572,4.598409,446.7424,503.4492
72.866,1.616592,1.648603,162.0089,180.5549,2.931526,2.973325,289.3287,324.4962,4.58613,4.591501,451.8584,502.8208
73.13,1.618688,1.652675,162.4927,182.0368,2.869253,2.984196,291.1079,325.7411,4.615426,4.60822,461.2381,515.7673
73.395,1.618919,1.670516,166.4768,184.9969,2.929742,2.980319,295.7232,330.6681,4.583237,4.68803,461.5009,515.0838
73.659,1.634808,1.689711,166.381,186.0007,2.968323,3.012158,298.5274,331.3481,4.565958,4.670563,467.2563,515.6579
73.923,1.647508,1.674889,166.8232,188.4679,2.971199,2.997706,303.3448,335.374,4.607435,4.698713,470.5694,524.3433
74.187,1.645154,1.676273,169.1639,188.6428,2.925547,3.005543,298.3785,338.532,4.574685,4.748415,472.2142,533.2045
74.452,1.669461,1.691301,170.0946,189.3382,2.961616,2.991761,307.8501,340.68,4.574832,4.739402,477.0918,533.7582
74.716,1.65857,1.7009,170.7026,192.113,2.963363,3.007627,311.6248,343.8507,4.585575,4.77106,480.0844,532.7297
74.98,1.661926,1.715271,173.241,192.9915,2.94,3.069784,311.7523,344.8479,4.669674,4.751048,487.3348,535.7424
75.244,1.658243,1.707398,174.2045,193.8542,2.942482,3.062465,309.8285,350.3526,4.618116,4.773407,488.4203,543.913
75.508,1.680801,1.723506,170.4386,194.5501,2.925277,3.099145,310.5554,350.5644,4.691666,4.821205,485.2125,544.275
75.773,1.670147,1.726062,172.3765,196.0121,2.929794,3.070151,317.7694,355.7293,4.704559,4.825361,491.6301,555.0893
76.037,1.673015,1.729788,177.9302,197.3902,2.975983,3.089313,323.2905,356.5116,4.773183,4.8761,491.7188,555.6573
76.301,1.685075,1.741726,176.1501,200.6515,3.009431,3.111515,323.8902,358.9314,4.780911,4.863239,498.1227,574.5055
76.565,1.691061,1.740192,180.5164,202.6772,3.007128,3.103677,321.0603,361.093,4.848049,4.860167,512.5481,569.9889
76.829,1.720712,1.745218,180.2861,202.7808,3.004676,3.107797,319.9368,363.4326,4.757276,4.855324,511.1438,571.0959
77.094,1.705349,1.73861,182.699,205.2089,3.02515,3.145485,325.7174,365.9388,4.752076,4.877444,506.9751,576.3032
77.358,1.719048,1.746218,183.3323,202.2941,3.034805,3.12812,324.6309,366.8215,4.818101,4.934722,505.5254,574.7454
77.622,1.720128,1.763234,181.762,207.813,3.072114,3.1609,327.1839,368.7255,4.759449,4.930936,508.8358,575.2466
77.886,1.737187,1.764064,183.6462,209.4205,3.118647,3.166561,328.3875,374.2111,4.768001,4.972854,512.3155,584.8928
78.151,1.720405,1.780364,186.622,209.532,3.07882,3.185536,333.6383,375.4608,4.798233,5.015122,519.5445,582.2148
78.415,1.708385,1.786006,188.0682,211.78,3.113618,3.22837,337.9994,380.4492,4.772586,5.049336,515.1861,592.9539
78.679,1.689973,1.773854,189.6494,212.2006,3.094419,3.191434,337.6735,381.851,4.868075,5.026393,521.9839,588.968
78.943,1.70273,1.782076,192.8419,212.6842,3.118604,3.214378,335.2944,381.683,4.859944,5.059245,514.3578,603.2631
79.207,1.746905,1.785679,193.3767,214.2904,3.117438,3.221915,340.5797,389.755,4.865979,5.018491,534.1784,605.3541
79.472,1.774756,1.809299,192.0605,216.9597,3.145936,3.249696,343.8294,388.8801,4.903619,5.000124,538.0194,602.9741
79.736,1.779565,1.836124,190.1068,217.9877,3.113839,3.252119,347.3902,389.0629,4.863914,5.02794,533.4194,610.9842
80.0,1.771046,1.836526,193.4278,220.251,3.122547,3.245823,343.8175,395.8843,4.972082,5.102061,536.0715,621.1715
