Frequency_Hz,Power_mW_L=30mm,Power_mW_L=40mm,Power_mW_L=50mm,Power_mW_L=60mm
195.117,0.0005,0.00066,0.00171,0.00175
195.442,0.00049,0.00065,0.00179,0.00168
195.768,0.00048,0.00065,0.0019,0.00168
196.093,0.00047,0.00066,0.00198,0.00167
196.419,0.00048,0.00065,0.0019,0.00163
196.745,0.00049,0.00066,0.00201,0.0016
197.07,0.00048,0.00064,0.002,0.00159
197.396,0.00049,0.00067,0.00207,0.00159
197.721,0.00049,0.00067,0.0021,0.00154
198.047,0.00049,0.00066,0.0021,0.00156
198.372,0.00051,0.00066,0.00216,0.00154
198.698,0.0005,0.00067,0.00232,0.00155
199.023,0.00049,0.00069,0.00238,0.00153
199.349,0.00049,0.00067,0.00236,0.00156
199.674,0.00048,0.00068,0.0025,0.00155
200.0,0.00048,0.00068,0.00265,0.00162
